"Episode Name","Episode Number","Synopsis"
"Blaze of Glory","S05E23","The Jem'Hadar have almost completely wiped out the Maquis who were fighting against the Cardassians. Yet, Sisko receives a message that the Maquis have launched a series of missiles against the Cardassians as a final retaliation. In order to stop the missiles, Sisko takes the reluctant Michael Eddington into the war zone where they have to evade two Jem'Hadar vessels. Eddington final gives in to Sisko's demand and leads the captain to Athos IV. After fending off two Jem'Hadar soldiers they don't find any weapons but a few Maquis survivors among many corpses. Eddington introduces Sisko to his wife Rebecca. The message about the missiles was a trick by Rebecca to let her husband know that she has safely arrived on Athos. But when the Jem'Hadar advance toward the hiding place, Eddington is wounded. He stays behind to provide coverage and is killed while valiantly battling the attackers."
"Empok Nor","S05E24","A team of engineers with O'Brien, Garak and Nog take a runabout to the abandoned Cardassian station Empok Nor to salvage spare parts needed for repairs on Deep Space 9. On Empok Nor they discover two stasis tubes that have recently been activated. Two Cardassian soldiers, apparently under the influence of a psychotropic compound, are on the loose. They destroy the runabout and kill two of O'Brien's team. Garak tracks down one of the soldiers and kills him, acting increasingly erratically. The other one attacks two team members before Garak eliminates him too. But then the Cardassian tailor, who has been exposed to the drug as well, turns against the surviving crew member. Garak has captured Nog when O'Brien challenges him to a duel. But O'Brien detonates a phaser he has prepared, which knocks Garak unconscious without killing him, much to O'Brien's relief. The remainder of the team returns to Deep Space 9 with the spare parts."
"In the Cards","S05E25","Jake decides to cheer up his dad who is depressed in the face of the bad news about the ever worse warmongering of the Dominion. In an auction at Quark's he and Nog bid on an ancient baseball card, but a man named Dr. Giger outbids them. When they approach Giger, he tells Jake and Nog that he would trade the card for a variety of supplies that he needs for his cellular regeneration chamber. After collecting the requested items, Jake and Nog are surprised that Giger's quarters are empty and that he allegedly never dwelt there. In a paranoid move Jake suspects that Kai Winn, who is on the station negotiating a non-aggression pact with the Dominion, has something to do with Giger's disappearance and confronts the Bajoran religious leader. Sisko is infuriated, but still with the intention to get that baseball card as a surprise, Jake doesn't tell the truth. On the way to their quarters Jake and Nog are suddenly beamed to Vorta Weyoun's ship where Giger is held captive too. When Weyoun doesn't buy the story about the baseball card, Jake conceives a conspiracy theory so absurd that Weyoun allows them to leave with the baseball card."
"Call to Arms","S05E26","The crew of Deep Space 9 discuss ways to protect the Alpha Quadrant against Dominion reinforcements from the Gamma Quadrant, when Rom comes up with the idea to deploy self-replicating mines at the wormhole entrance. Using the Defiant, Dax and O'Brien begin to drop the mines. Rom hurriedly marries Leeta. With no further support to be expected from Starfleet and with a Dominion fleet arriving from Cardassia to seize the station, Sisko orders Deep Space 9 to be evacuated. The Dominion attack begins while the Defiant is still building the minefield, protected only by Martok's Rotarran. As soon as the minefield is completed, all Starfleet personnel withdraws, leaving only the Bajoran crew who ""welcomes"" their Dominion ""guests"" led by Weyoun and Dukat under the terms of the non-aggression treaty - but not before Kira has disabled most of the station's systems. While the Dominion was distracted at Deep Space 9, Starfleet has taken the opportunity to destroy a Dominion shipyard. Sisko promises to return, joining a fleet of the Federation. He is furious, however, when he learns that Jake has chosen to stay behind and report on the ensuing war."
"A Time to Stand","S06E01","Months after the abandonment of Deep Space 9 the Federation fleet suffers defeat after defeat in the war against the Dominion. Admiral Ross sends Captain Sisko and his crew on an undercover mission to eliminate the Dominion's biggest Ketracel white supply depot - using the Jem'Hadar fighter that Sisko had recovered the year before. After an unscheduled and almost fatal encounter with an unaware Starfleet vessel, the USS Centaur, Sisko's ship proceeds to the Ketracel white depot. The crew manages to beam down a bomb, but their ship is trapped when the facility raises its shields. In the attempt to outrun the wave of the explosion, the ship is severely damaged."
"Rocks and Shoals","S06E02","Sisko and his crew are stranded on a desolate planet, with Dax being wounded. Nog and Garak are captured by a group of Jem'Hadar who are marooned as well. When Keevan, the injured Vorta heading the Jem'Hadar, learns that there is a doctor among the Starfleet crew, he asks for a hostage exchange. Sisko and Bashir agree to replace Nog and Garak. Keevan tells them that he is running out of Ketracel white supplies and therefore losing any control over the Jem'Hadar. In order to save his own life, the Vorta reveals his soldiers' attack plan to Sisko. When Sisko later gives the trapped Jem'Hadar an opportunity to surrender, their leader, Remata'Klan, refuses. All Jem'Hadar are killed in the skirmish."
"Sons and Daughters","S06E03","Worf is surprised to see his son Alexander as a new crew member on General Martok's Bird-of-Prey. Much to his dismay, the boy soon becomes the ship's fool when he exhibits poor fighting skills and falls for a battle simulation running on the bridge that he thinks is an authentic Dominion attack. The two have an argument about Worf trying to get rid of Alexander like he were still a kid. But then the Jem'Hadar actually attack, and Alexander proves himself worthy when he successfully repairs a plasma leak. Like his father before, Alexander is accepted into the House of Martok."
"Behind the Lines","S06E04","On Starbase 375 Admiral Ross puts Dax in command of the Defiant and sends her on a mission to destroy a Dominion sensor array in the Argolis Cluster. Meanwhile on Terok Nor, Odo meets the female Founder, much to Kira's displeasure. When Quark has learned that Damar is modifying the station's deflector array to disable the Starfleet minefield that protects the Alpha Quadrant, Kira, Jake, and Rom devise a plan to sabotage the deflector. But they fail and Rom is arrested because Odo is not on his post when he is supposed to give the Ferengi a sensor window for his tampering. Kira is infuriated when Odo tells her that he has rejoined his people."
"Favor the Bold / Sacrifice of Angels","S06E05-06","In an attempt to boost the morale of the Federation, Sisko devises a plan to retake Deep Space 9. On the station, Rom is about to be executed, while Odo continues to link with the female shapeshifter. Quark learns that the minefield would come down within a week, and Jake secretly informs his father of the aggravated situation. Sisko decides to attack earlier, even though his fleet is outgunned against the Dominion. When the battle begins, Sisko orders his ships to focus their attacks on the Cardassians, in the hope they would leave gaps in the frontline. But only with the help of Klingon reinforcements the alliance can turn the tables, and the Defiant makes a run for Deep Space 9. Quark and Ziyal free Rom from prison. Odo rejoins the resistance group, but they are too late to prevent the minefield from detonating, with thousands of Dominion vessels waiting on the far side of the wormhole. Sisko summons the Defiant into the wormhole where the ship would meet certain destruction - but the Prophets interfere. Sisko convinces them to protect Bajor against the invasion, and the Dominion fleet vanishes. The Dominion has to abandon the station and retreats to Cardassia. Damar kills Ziyal before the eyes of her father, leaving Dukat on the station as a shadow of his former self."
"You Are Cordially Invited","S06E07","Worf and Jadzia decide to get married despite the ongoing war. In order to be accepted as Worf's bride, Martok's wife Sirella has to agree, but she gives Dax a hard time. In the meantime Worf, Martok, Alexander, Bashir, O'Brien and Sisko celebrate the Klingon version of a bachelor party, a ritual of pain and abstinence. When Dax rejects to leave her own, much more joyous party, she ultimately falls out with Sirella who expects the Trill to apologize. Dax refuses and calls off the wedding. Only Sisko can eventually convince her to do as requested, for Worf and his esteem of Klingon traditions."
"Resurrection","S06E08","The Mirror Universe version of Bareil Antos appears on the station and grasps the special attention of Kira, who was once in love with the late Vedek Bareil of her universe. Mirror Bareil develops an interest for Bajoran religion, but it turns out to be a ruse in order to get his hands on the Orb of Prophecy and Change. He is supposed to steal it for the Intendant, Kira's counterpart in the Mirror Universe. But when he is just about to take the orb with him, he has a vision and stuns the Intendant with a phaser blast. Feeling unworthy to stay with Kira, he departs for the other universe."
"Statistical Probabilities","S06E09","Dr. Bashir is working with a group of four genetically engineered people like he is one too. However, Jack, Lauren, Patrick and Sarina have spent most of their lives in an institution because, in spite of being highly talented, they are not ready for social life. When the group proves quite helpful in making projections about the war and possible peace negotiations, they are given access to classified data of the Federation. Their devastating prognosis: The Federation would lose hundreds of billions of lives if the war were going to continue. When their proposal to surrender is naturally turned down by Starfleet, Jack, Lauren and Patrick attempt to meet with Weyoun and Damar to supply them with strategic information. But Bashir foils their plan with Sarina's help, and he sees no alternative but sending them back to the institution."
"The Magnificent Ferengi","S06E10","Quark's and Rom's moogie has been kidnapped by the Dominion. With fellow Ferengi Nog, Gaila, Leck and Brunt they attempt to free her in exchange for the Vorta Keevan who was captured a few months earlier. The exchange is supposed to take place on the abandoned station Empok Nor. But Keevan is accidentally killed before he can be sent back, when the Ferengi struggle for the possession of Quark's reward money. Nog devises a method to let Keevan appear alive, using neural stimulators. The Vorta on the opposite side, Yelgrun, notices that something is wrong with Keevan, but not before the Ferengi manage to kill his guards and take him prisoner."
"Waltz","S06E11","Sisko and Dukat are en route to Dukat's trial when the starship is attacked and destroyed. The two escape in a shuttle and land on a desolate planet, but Sisko has several broken bones. Dukat pretends that their emergency emitter is sending out a distress call, but actually the Cardassian is under the influence of hallucinations. When Sisko repairs the emitter himself, Dukat destroys it. Sisko and Dukat are struggling for the control of the shuttle, with Dukat prevailing. He manages to escape, but the Defiant picks up his signal and locates Sisko."
"Who Mourns for Morn?","S06E12","When Quark learns that his most frequent guest Morn has died, he arranges a memorial party in his bar as an opportunity to make some profit. But the truly startling news is that Quark turns out to be the sole heir of Morn's property. Soon Quark has four aliens on his heels: Morn's ex-wife Larell who tells Quark about one thousand bars of latinum in the inheritance, the two brothers Krit and Nahsk who attempt to overwhelm him and Hain who claims to be a security officer and demands Larell's extradition. But actually they are all accomplices of the infamous Lissepian Mother's Day Heist, with Morn being the fifth. The bars of gold they eventually find are all empty, however. Morn has actually faked his death and stored all the precious latinum in one of his stomachs. The accomplices are arrested, whereas Morn remains unscathed."
"Far Beyond the Stars","S06E13","Following the loss of a friend in the Dominion War, Benjamin Sisko is plagued by visions of another life. In this life he is the science fiction author Benny Russell living in New York in 1953. His colleagues and other characters that appear in Sisko's vision look like his staff on Deep Space 9, the aliens being remodeled to humans. His editor Pabst is the human version of Odo. Benny is writing a story about a space station in the far future, commanded by Benjamin Sisko. But Pabst refuses to publish it as he anticipates that the readers wouldn't put up with a black commander. Encouraged by his girl-friend Cassie (Kasidy Yates) and a priest (Joseph Sisko) Benny carries on nonetheless. Albert (O'Brien) devises a twist that actually the story is supposed to be just a dream which would make it acceptable. But the situation aggravates when a black teenager named Jimmy (Jake Sisko) is killed by the police (Dukat and Weyoun) and Benny is about to lose his job. Benny collapses, is taken to a hospital and wakes up as Benjamin Sisko on Deep Space 9."
"One Little Ship","S06E14","A runabout with Dax, Bashir and O'Brien enters a subspace phenomenon to explore it, whereby the ship shrinks to a size of just ten centimeters. When the Jem'Hadar overpower the crew of the Defiant and seize the vessel, the crew of the runabout are left to their own; they exit the anomaly on a path that leaves the runabout at the size of a miniature. Aboard the Defiant the runabout remains undetected. This turns out be an advantage against the Jem'Hadar. Having arrived on the bridge, Dax beams Bashir and O'Brien into the control console where they restore the command functions for Sisko. Sisko implants a virus into the Defiant's system. With the help of the little ship and narcotic gas the rightful crew gains the upper hand."
"Honor Among Thieves","S06E15","O'Brien is recruited by Starfleet Intelligence for an undercover mission on Farius Prime. On the planet he becomes friends with Bilby, a man working for the Orion Syndicate. The Syndicate has forged an alliance with the Dominion who expect the gangsters to assassinate the Klingon ambassador on Farius - in the hopes that it might end the alliance with the Federation. O'Brien foils the scheme by informing his contact, Chadwick. But he also warns Bilby that their plan is destined to fail and the Klingons would definitely kill them. Bilby, however, decides to proceed as planned. Knowing the Orion Syndicate, it is the only way for him to protect his family from the revenge of the Syndicate because of his mistake of falling for a disguised Starfleet officer."
"Change of Heart","S06E16","Worf and Jadzia receive a transmission from Lasaran, a Cardassian agent who is about to defect and who has crucial information about the Founders in the Alpha Quadrant. Lasaran expects Worf and Jadzia to meet him on the planet Soukara from where he can't simply be beamed off. In the jungle of Soukara, however, the two run into a Jem'Hadar patrol, and Jadzia is seriously wounded with an anti-coagulant. With a bleeding that can't be stopped, the only hope for her is to be taken to a sickbay very soon. Worf, who was already on the way to retrieve Lasaran, returns to Dax. While his wife recovers, Lasaran is killed. Sisko tells Worf that, as a husband, he would have done just the same. But as a Starfleet officer Worf has made an utterly wrong decision which will be a stain on his record."
"Wrongs Darker than Death or Night","S06E17","On the 60th birthday of her late mother, Kira Meru, Major Kira Nerys receives a message from Gul Dukat. He claims that Kira Meru has been his lover for many years. Kira Nerys opens the Orb of Time and finds herself back on Bajor, many years ago, where she claims that her name is ""Luma Rahl"". She and Kira Meru are selected to act as ""comfort women"" for the Cardassian occupation forces, and are taken to Terok Nor. Kira Meru, who only knows the poverty of the refugee camp, is overwhelmed and soon learns to appreciate the luxury as well as being Gul Dukat's mistress. Disgusted about her mother's conduct, Kira Nerys joins an underground movement and plants a bomb in Dukat's and Meru's quarters. But when she recognizes that her mother still cares a lot for her family and even saves their lives by staying with the Cardassians, she warns Meru and Dukat just before the explosion."
"Inquisition","S06E18","Julian Bashir is interrogated by an officer named Sloan of the Internal Affairs department. Sloan questions Bashir's loyalty, and he surmises that the genetically enhanced doctor who was once kidnapped by the Dominion could work as a spy for them without even knowing. Bashir's support for his genetically engineered friends who proposed that the Federation surrender casts even more doubt on Bashir. Then Bashir is kidnapped by Weyoun who claims that he was indeed ""broken"" to work for the Dominion. However, Bashir unmasks everything that happened as a holodeck simulation. The real Sloan of the secret Section 31 was testing the doctor's aptitude as a secret agent. Back on Deep Space 9, Bashir makes clear to Sisko that he would never work for Section 31, but the curious captain advises him to accept if Sloan should return."
"In the Pale Moonlight","S06E19","Sisko decides that it is time to gain a new ally against the Dominion: the Romulans. Garak suggests to fabricate evidence that the Dominion were planning an attack on Romulus and to present it to the Romulan Senator Vreenak. The senator arrives, and Sisko takes him to a holosuite where they witness a meeting of Weyoun and Damar who discuss plans to invade Romulus. The fraud fails when, upon an examination of the data rod with the recording, Vreenak recognizes that it is faked and takes off with his shuttle. However, the shuttle explodes, killing Vreenak and destroying the evidence. Garak has placed a bomb on the shuttle, thereby getting the Romulans to declare war on the Dominion and leaving one Starfleet officer with a very bad conscience."
"His Way","S06E20","When Kira travels to Bajor to meet with Shakaar, the jealous Odo seeks advice in Dr. Bashir's new holosuite program set in a Las Vegas casino. The local singer called Vic Fontaine, an unusually sophisticated hologram, introduces Odo to some holographic women to gain practice, including a reproduction of Kira. But Odo can't ignore that they are unreal. When Kira returns, Vic invites her for dinner on the holodeck, and he invites Odo too, not telling him she is real. Odo is embarrassed when he learns the truth after treating Kira like a hologram. But when the two later have an argument on the promenade deck, Odo brings himself to kiss her."
"The Reckoning","S06E21","In the ancient city of B'hala on Bajor archeologists find a tablet addressing the Emissary. Looking at the tablet, Sisko has a vision of the Prophets who tell him that the ""Reckoning"" must begin. At Kai Winn's urging Sisko agrees to return the tablet. But suddenly he smashes it on the floor, releasing a strange form of energy. On the promenade deck a Prophet appears in the body of Major Kira. Even though Sisko is shocked that his son Jake hosts the opponent, a Pah-wraith, he allows the battle to take place against the advice of his staff. It is Kai Winn, worried by the fact that her faith is not strong enough, who ends the Reckoning prematurely when she activates a chroniton emitter that was installed by the Starfleet crew."
"Valiant","S06E22","Jake and Nog are traveling to Ferenginar when a Jem'Hadar ship attacks. They are beamed out from the shuttle and find themselves on a Defiant-class vessel, the USS Valiant. The ship's regular staff has been killed, leaving a group of Red Squad cadets in charge, led by the provisional ""Captain"" Watters. While Nog is excited to work together with Red Squad, Jake has doubts about the irrational unconditional team spirit on the Valiant. When Watters orders an assault on a vastly superior Dominion battleship prototype, Jake is put into the brig. The Dominion vessel suffers only superficial damage, whereas the Valiant is crippled and destroyed. Only Jake, Nog and ""Chief"" Collins survive the debacle in an escape pod, and are picked up by the Defiant."
"Profit and Lace","S06E23","Zek has been disposed of his position as Grand Nagus because of his relationship with and support for the feminist Ishka, Quark's and Rom's mother. Brunt is now the acting Grand Nagus, and will permanently take this position unless Zek gets support from the commissioners of the FCA within three days. Ishka is ready to meet with ""Slug-o-Cola"" manufacturer Nilva, but during an argument with Quark she suffers a heart attack. It is now up to Quark to play the role of a Ferengi female to convince Nilva of the feminist idea, for which purpose he is altered using a hormone treatment. When Brunt blows the whistle on the ruse, Quark can prove, thanks to the hormones, that he is a real female. Nilva promises to support Ishka and Zek."
"Time's Orphan","S06E24","During a picnic on an alien planet, eight-year-old Molly O'Brien falls into a time portal and finds herself 300 years in the future. The crew manages to retrieve Molly from the portal, but the calculations are off by ten years. The Molly that returns has spent a whole decade alone on the planet. The O'Briens prepare a special room with a tree and a holodeck simulation for their savage daughter, but when she injures a guest of Quark's bar, Federation officials decide that she better be taken to a care center. Unwilling to give their daughter away and worried about her welfare, the O'Briens make a hard decision: They return Molly to where she came from, 300 years into the future on the alien planet. When 18-year-old Molly arrives there, she encounters her sad young counterpart and sends her back through the portal."
"The Sound of Her Voice","S06E25","The Defiant picks up a distress call by the marooned Captain Lisa Cusak whose ship has crashed on a remote Class-L planet. A regular communication is established, and the stranded captain becomes friends with many of the crew. The Defiant arrives at the planet just before the carbon dioxide in the atmosphere becomes lethal for Cusak. However, the planet is surrounded by an energy barrier that does not permit beaming. Sisko, O'Brien and Bashir take a bumpy shuttle ride down to the surface - only to find that Lisa Cusak has died three years ago. Obviously the energy barrier caused a time shift in the subspace signals."
"Tears of the Prophets","S06E26","The Federation Alliance decides to launch a major offensive against the Dominion and to invade Cardassian space, beginning with the Chin'toka system. Sisko receives a warning from the Prophets to stay on the station, but he decides in favor of his duty as a Starfleet officer. He puts Dax in charge of Deep Space 9. The Chin'toka system is protected by a series of orbital weapon platforms which become active amidst the battle. The Alliance gains the upper hand when the weapon platforms can be tricked in firing on their own power generator. Meanwhile on the station, Dukat, now possessed by a Pah-wraith, appears in the Bajoran shrine where he disables the Orb and lethally injures Jadzia Dax. Dr. Bashir can save the Dax symbiont, but not the Jadzia host. The Bajoran wormhole closes, and all Orbs go dark, indicating that the Prophets have left Bajor. Sisko is shattered and takes an indefinite leave, returning to New Orleans on Earth."
"Image in the Sand / Shadows and Symbols","S07E01-02","Three months after Jadzia was killed and the wormhole closed, Sisko, now working in his father's restaurant on Earth, has a vision of uncovering a woman's face in the sand on the planet Tyree. This woman turns out to be his real mother, Sarah. A locket that belonged to Sarah shows an old Bajoran inscription which hints to a yet unknown Orb of the Emissary. Despite an attempt on his life obviously by a member of the Pah-wraith cult, Sisko goes searching for this Orb, together with his father Joseph, his son Jake and Ezri, the new Dax host. Meanwhile, the Romulans establish a hospital complex on the Bajoran moon Derna, but also install plasma torpedoes there. Worf is eager to undertake a dangerous mission to allow Jadzia to enter Sto-vo-kor. On the planet Tyree Sisko discovers the Orb of the Emissary. The Prophet from the Orb enters the wormhole and expels the Pah-wraith. Kira's blockade against the Romulans succeeds, and they remove their weapons from the Bajoran moon. Worf and Martok, accompanied by Bashir, O'Brien and Quark, successfully destroy the Dominion shipyard at Monak IV by triggering a solar flare."
"Afterimage","S07E03","Sisko expects Ezri to stay as the station's counselor, but the crew have difficulties to get accustomed to the new Dax host, and vice versa. While everyone gives her at least a warm welcome, Worf avoids Ezri, believing that to be friendly to her would dishonor his wife's memory. Sisko gives Ezri the task of helping Garak when he begins to have claustrophobic attacks. When her work seems to fail, she is about to resign from Starfleet, but she eventually finds out the true reason for Garak's claustrophobia, that he feels like he is betraying his people. After talking to Worf, Ezri decides to stay."
"Take Me Out to the Holosuite","S07E04","The Vulcan Captain Solok is an old rival of Sisko's who uses every opportunity to prove that Vulcans are superior to humans. He challenges Sisko by proposing a baseball game of his all-Vulcan crew, the ""Logicians"", against DS9 officers and residents, knowing that it would hurt Sisko to lose in his favorite sport against people who actually don't give a damn about it. Sisko gathers all his crew and friends. Although they give their best, the ""Niners"" eventually lose the match, winning just one strike, but not without the moral victory on their side as they believe."
"Chrysalis","S07E05","Julian Bashir has been working on a procedure to free Sarina Douglas, one of his genetically enhanced friends, from her long cataleptic state. Jack, Lauren, Patrick, who know of his plan, appear on the station in disguise, accompanied by Sarina. With their help the surgery succeeds and Sarina blossoms; she begins to speak, sing and enjoy the world around her. She spends a lot of time with Bashir, and soon the Doctor falls in love with her, while Sarina only feels that she owes him everything. Knowing that they don't have the basis for a relationship, Sarina leaves the station."
"Treachery, Faith and the Great River","S07E06","Having expected a Cardassian defector, Odo is surprised to find Weyoun at the meeting point. After the previous Weyoun 5 had died, this Weyoun 6 was activated but exhibited too much of a conscience of his own. When Weyoun 6 was about to be replaced by still another clone, Weyoun 7, he decided to defect and reveal secrets of the Dominion to the Federation to end the killing. When their runabout is chased by Jem'Hadar who were not told that a Founder is aboard, Weyoun 6 sees no other solution than to commit suicide to prevent Odo from being killed, but not before revealing that a deadly disease is spreading among the Founders. Meanwhile on DS9, Nog shows O'Brien how to acquire spare parts and navigate the ""Great Material Continuum""."
"Once More Unto the Breach","S07E07","Kor, the old Dahar Master, requests a command from Worf so he can die as a warrior. Martok, whose application to the Klingon military academy was once turned down by Kor, grudgingly accepts Kor as his third officer. Kor shows signs of senility during an attack on a Dominion planetary base. The younger Klingons tease him, and Worf removes him from the crew roster. When the small Klingon attack group of Birds-of-Prey is being pursued by a fleet of Jem'Hadar ships, Worf vows to stay behind with one ship and sacrifice himself to allow the rest of the Klingons to escape. Kor, however, knocks out Worf and beams over to the ship that is to distract the Jem'Hadar. He dies a glorious death in battle, thereby saving his comrades."
"The Siege of AR-558","S07E08","On a supply mission to AR-558 near the Chin'toka system Sisko beams down and finds only one third of the original Starfleet team alive. They are securing a Dominion communications array. He decides to stay with an away team as a reinforcement for the war-weary troops. On a reconnaissance mission to the Jem'Hadar camp, Nog is severely hurt, and Bashir has to amputate his leg. In the meantime, Ezri and engineer Kellin have found a way to disable Dominion anti-personnel mines that hide in subspace and use them against the Jem'Hadar. With most of them killed by the mines, Starfleet fights a fierce battle against the remaining Jem'Hadar and eventually wins, but takes heavy losses too."
"Covenant","S07E09","Using a long-range transporter, Kira is kidnapped to Empok Nor where a community of Pah-wraith worshippers has settled, their charismatic leader being no one else but ex-Gul Dukat. He tries to convert Kira to have faith in the Pah-wraiths, but she is only disgusted. When it is discovered that the unborn child of his Bajoran follower Mika is half-Cardassian (with Dukat being the father, of course), Dukat claims that it is a miracle, but later attempts to kill Mika. Kira manages to escape from the room where she was locked up just in time to prevent the sect from committing suicide on Dukat's orders. Dukat himself, who never had the intention to die with them, escapes."
"It's Only a Paper Moon","S07E10","Nog has a new biosynthetic leg, but he is just not the same person any longer. Although he would not have to, he is walking around with a cane. Nog eventually escapes the real world when he moves his quarters into the holographic world of Vic Fontaine. He even takes over the job of Vic's manager. It is finally Vic himself who, more than an average hologram, can convince Nog to leave the holodeck and face the challenge of the real world. Nog thanks Vic by letting his program run 26 hours a day."
"Prodigal Daughter","S07E11","When he is secretly investigating the disappearance of a woman, Bilby's widow Morica, O'Brien's trace is lost in the colony of New Sydney. Ezri's mother, Yanas Tigan, as a businesswoman, has some influence in the colony. Ezri is uncomfortable with visiting her family, because Yanas exerts a dominating influence on everyone. However, Ezri's brothers, Janel who has a leading position in the company and in particular the shy and artistically skilled Norvo, are delighted to see her. O'Brien is found, and so is the body of Mrs. Bilby. She was on the payroll of the Tigan company because they owed a favor to the Orion Syndicate, but she soon became a problem when she raised her demands. It was Norvo, the underestimated brother who killed her, both to avoid trouble for the rest of his family and possibly in a bizarre attempt to gain recognition. Norvo is sentenced to thirty years in prison."
"The Emperor's New Cloak","S07E12","Grand Nagus Zek is abducted to the Mirror Universe. Mirror Ezri tells Quark that the Alliance demands a cloaking device as ransom for the Zek. Together with Rom, he steals the cloaking generator from a Klingon ship. Upon their arrival on Terok Nor in the Mirror Universe they are captured by Terran rebels. Mirror Brunt frees them, but when they hand over the device to Mirror Worf, he orders them to be executed. Rom, however, has sabotaged the device, which allows the rebels to win and to free the Ferengi."
"Field of Fire","S07E13","Starfleet officers are murdered aboard DS9, obviously with a TR-116, a projectile weapon modified with a built-in transporter. Ezri, who had just left Lt. Ilario's quarter before he was killed, consults Joran, a violent former Dax host, to understand what the assassin thinks. She discovers that the victims had in common that they all had photos of laughing people in their quarters. When she accidentally meets the Vulcan Chu'lak in the turbolift, Joran knows that he must be the culprit - the Vulcan, as someone who is used to suppress his emotions, was offended by the hilarity. In a remote duel with TR-116 rifles, Ezri is a bit faster and hurts Chu'lak so he can be apprehended."
"Chimera","S07E14","Odo and O'Brien are returning from a conference when their runabout is boarded by a Changeling. Laas, like Odo, is one of the one hundred infants who were sent out as explorers by the Founders, and he has never met one of his kind before. Laas despises humanoids; he is disgusted by Odo's relationship to Kira, and he urges Odo to come with him to find the other explorers and form a new Great Link. Laas is arrested after killing a Klingon, but Kira releases him when she recognizes that it would make Odo happy to join him. Odo, however, returns to Kira."
"Badda-Bing, Badda-Bang","S07E15","The Las Vegas holosuite is taken over by the mobster Frankie Eyes who lays off Vic. Since it would erase Vic's memory if the parameters were reset, Vic's friends from the real world decide to solve the problem by removing Frankie Eyes from within the holosuite. They devise a plan to rob Frankie's safe so that he can't pay his boss, Mr. Zeemo. While Kira, Sisko and other DS9 officers distract Frankie, Nog opens the safe just before Zeemo's arrival. When Zeemo discovers the empty safe, he fires Frankie Eyes - forever."
"Inter Arma Enim Silent Leges","S07E16","Just before he is leaving for a conference on Romulus, Bashir is visited by Sloan who wants him to gather data on Romulus for Section 31. Sisko recommends that Bashir should take over the task, and if only to gather information about Section 31. On their way to Romulus, Sloan tells Bashir that he is to examine Koval of the Tal Shiar who may suffer from the Tuvan syndrome. Bashir, however, suspects that Section 31 may use the information about the illness to kill Koval, a declared opponent of the Federation. When Admiral Ross suffers an aneurysm, Bashir sees no other chance than to consult Romulan Senator Cretak, who then tries to get access to Koval's files to find a possible traitor in the Romulan Senate. Bashir is arrested and, after an unsuccessful attempt to scan his brain, finds himself in a Romulan courtroom, together with Cretak and Sloan as the other defendants. Sloan denies that Section 31 even exists but claims that he wanted to kill Koval for personal revenge. When Sloan tries to escape, he is seemingly vaporized by a disruptor, but actually he is beamed up secretly. The whole affair was a hoax devised by Sloan and supported by Ross to discredit Cretak and get Koval, who is a secret supporter of the Romulan-Federation alliance, into a better position."
"Penumbra","S07E17","Worf is reported missing in action after the Klingon ship he was commanding was destroyed by the Jem'Hadar. Ezri, determined to find him, sets out alone in a runabout. She finds Worf in the Badlands, but their runabout is attacked by the Jem'Hadar, and they have to beam down to a planet. After a few days on the planet, they don't manage to suppress their feelings for each other any longer, but they are soon interrupted by the Breen who capture them. Sisko and Kasidy are preparing for their wedding, although Sisko has a vision in which the Prophets do not approve of it. In the Dominion headquarters, the female Founder shows signs of a serious disease that makes it hard for her to maintain her shape. Damar is surprised when he sees that Dukat has been surgically altered to appear as a Bajoran."
"'Til Death Do Us Part","S07E18","Sisko is uncertain whether he should heed the warnings of the Prophets or follow his heart. Although he has still another vision in which the Prophets want to talk him out of it, he finally decides to let the wedding with Kasidy take place. In a small ceremony on Deep Space 9, Admiral Ross pronounces them husband and wife. Kai Winn, after many years, seemingly has her first vision of the Prophets who tell her that a ""guide"" will help her in the ""restoration"" of Bajor. This guide appears in the form of Dukat who now calls himself ""Anjohl"" and claims to be a Bajoran farmer. Aboard the Breen ship, Ezri inadvertently confesses to Worf that she loves Julian. They do not know why they are held captive until they learn that the Breen are now allies of the Dominion, and Ezri and Worf are a gift for Weyoun."
"Strange Bedfellows","S07E19","Kai Winn is horrified when she learns that her visions are actually not from the Prophets, but from the despised Pah-wraiths. She seeks the advice of Kira Nerys who tells her that now would be the time to resign, but Winn decides to follow the way of the Pah-wraiths. Damar is upset when he learns that Cardassia will lose some of its territory to the Breen. He is anything but sad that Worf kills Weyoun 7 when he insults the Klingon, whereupon Worf and Ezri are due for execution. Damar's grudge against the Dominion becomes even worse when Weyoun 8 does nothing to support the Cardassian troops on Septimus III, resulting in the loss of 500,000 lives. Damar frees Worf and Ezri, telling them that he is now an ally of the Federation."
"The Changing Face of Evil","S07E20","As Worf and Ezri return to DS9, they learn that the Breen have destroyed Starfleet Headquarters on Earth. Winn Adami and ""Anjohl"" Dukat study the ancient Bajoran book of the Kosst Amojan that explains how the Pah-wraiths can be freed from the Fire Caves. The pages seem to be empty. Winn's assistant Solbor unveils Anjohl's true identity. Winn stabs him with a knife, and the blood renders the text visible. When the Dominion, supported by the Breen, attack the Chin'toka system, countless allied starships, including the USS Defiant, are destroyed by a new Breen weapon that disables a ship's power systems. In the meantime, on Cardassia, Damar has gathered loyal troops to fight against the Dominion occupation. Sisko, knowing that the Federation now needs any help it can get, decides to support Damar."
